asset,phase,model,method,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,directional_accuracy_p_value_mean,directional_accuracy_p_value_std
BTC,phase3_reference,lstm,phase3_reference_lstm,0.017056387323090137,0.0001449670441802454,0.0243190757350195,0.00010199635143804759,-0.027771304012176444,0.008640235464311499,0.47368421052631576,0.015603343717936051,0.808478647302632,0.13642735480795576
BTC,phase3_reference,xgb,phase3_reference_xgb,0.01778093690575993,0.00023681372258845074,0.025049844105534423,0.00027700350560738013,-0.09055803915408873,0.02417583234205824,0.4921052631578947,0.01587831366598309,0.6120112540949323,0.18358938488848545
BTC,phase4_combined,lstm,phase4_combined_lstm,0.016817581282909243,3.66373857890907e-05,0.024155324531704634,2.729990949623675e-05,-0.013963782927844948,0.002291016766234298,0.48026315789473684,0.0,0.7720180847000842,0.0
BTC,phase4_combined,xgb,phase4_combined_xgb,0.01812737729510672,0.0002316285398365627,0.025563274814686295,0.00016601118856441024,-0.13564835454903293,0.014800806519978399,0.4947368421052632,0.01995493537908303,0.5810397046214884,0.24830820792944452
BTC,phase4_decay_only,lstm,phase4_decay_only_lstm,0.016763723756685885,3.464467969535529e-05,0.024102099821341667,2.653036943183011e-05,-0.009500244330490881,0.0022226819956866466,0.48026315789473684,0.0,0.7720180847000842,0.0
BTC,phase4_decay_only,xgb,phase4_decay_only_xgb,0.017780936905759975,0.00023681372258845058,0.025049844105534468,0.00027700350560738105,-0.0905580391540893,0.02417583234205832,0.4921052631578947,0.01587831366598309,0.6120112540949323,0.18358938488848545
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.016860745714872564,9.273361670874452e-05,0.024231207706205734,8.156547059005635e-05,-0.020352665178387984,0.006879176914734301,0.4861842105263158,0.009702553423521465,0.6985990269056026,0.12510999546203777
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.01812737729510672,0.0002316285398365627,0.025563274814686295,0.00016601118856441024,-0.13564835454903293,0.014800806519978399,0.4947368421052632,0.01995493537908303,0.5810397046214884,0.24830820792944452
ETH,phase3_reference,lstm,phase3_reference_lstm,0.023748285964926986,0.0003804597320530193,0.034250736769431696,0.0003742776360365534,-0.04144074742886672,0.02272943120888932,0.49605263157894736,0.015145874254238644,0.5673314564678007,0.189831004640107
ETH,phase3_reference,xgb,phase3_reference_xgb,0.024885491022724294,0.00032807426103126944,0.03524852737837601,0.0003420103926551328,-0.10298068451679984,0.02146206882451174,0.4947368421052632,0.024682015108294843,0.5616209535590772,0.28370803343980533
ETH,phase4_combined,lstm,phase4_combined_lstm,0.022935280711293034,1.2667542252770522e-05,0.03360704837559147,2.313613250681863e-05,-0.0025687202962604073,0.0013800629431197746,0.5105263157894737,0.017926877096629892,0.40208542020588256,0.20115283945819706
ETH,phase4_combined,xgb,phase4_combined_xgb,0.02447539659537512,6.667215887782183e-05,0.03429180312568312,0.00017397507854806095,-0.043861379052755736,0.010581570935829013,0.5006578947368421,0.022358744036797943,0.5194151957655327,0.27306243962052834
ETH,phase4_decay_only,lstm,phase4_decay_only_lstm,0.02302059248413969,0.00012077886153853953,0.033666087673850945,5.034649705748659e-05,-0.006095765105872219,0.0030082755556993628,0.506578947368421,0.011860366037710443,0.43598720340507213,0.15470639736868672
ETH,phase4_decay_only,xgb,phase4_decay_only_xgb,0.02488549102272434,0.00032807426103126895,0.03524852737837605,0.0003420103926551313,-0.10298068451680038,0.02146206882451155,0.4947368421052632,0.024682015108294843,0.5616209535590772,0.28370803343980533
ETH,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.023046355296677257,0.0001238646986724101,0.033637497279851096,0.00010977090639955288,-0.004394428721513455,0.0065648671052224205,0.5164473684210525,0.019180762811991107,0.33376615753426064,0.20016778768238944
ETH,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.02447539659537512,6.667215887782183e-05,0.03429180312568312,0.00017397507854806095,-0.043861379052755736,0.010581570935829013,0.5006578947368421,0.022358744036797943,0.5194151957655327,0.27306243962052834
