observations,total_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,mean_daily_net_return,positive_net_day_fraction,average_absolute_position,average_daily_turnover,total_turnover,position_changes,asset,method,policy,strategy,cost_bps
304,-0.2567243890977967,-0.29968232212985313,0.457590115897515,-0.5488178128860771,-0.37925325615572636,-0.0006880372783703034,0.48355263157894735,1.0,1.1414473684210527,347.0,174,BTC,arima,daily_sign,arima__daily_sign,0
304,-0.2567243890977967,-0.29968232212985313,0.457590115897515,-0.5488178128860771,-0.37925325615572636,-0.0006880372783703034,0.48355263157894735,1.0,1.1414473684210527,347.0,174,BTC,arima,cost_aware,arima__cost_aware,0
304,-0.24829728155809194,-0.2901382156999892,0.4576097335136235,-0.5195997117110738,-0.44508530984150574,-0.0006514353030407127,0.4769736842105263,1.0,0.01644736842105263,5.0,3,BTC,phase0_lstm,daily_sign,phase0_lstm__daily_sign,0
304,-0.24829728155809194,-0.2901382156999892,0.4576097335136235,-0.5195997117110738,-0.44508530984150574,-0.0006514353030407127,0.4769736842105263,1.0,0.01644736842105263,5.0,3,BTC,phase0_lstm,cost_aware,phase0_lstm__cost_aware,0
304,0.078646850069642,0.09515796619940065,0.45766438779851515,0.4278255821615286,-0.2606014543353502,0.0005364398168342449,0.4967105263157895,1.0,0.8125,247.0,124,BTC,phase0_xgb,daily_sign,phase0_xgb__daily_sign,0
304,0.078646850069642,0.09515796619940065,0.45766438779851515,0.4278255821615286,-0.2606014543353502,0.0005364398168342449,0.4967105263157895,1.0,0.8125,247.0,124,BTC,phase0_xgb,cost_aware,phase0_xgb__cost_aware,0
304,-0.283028632075053,-0.32933273288520715,0.45751890599868006,-0.6438553139759909,-0.47072435056608053,-0.0008070574763609098,0.48026315789473684,1.0,0.003289473684210526,1.0,1,BTC,phase1_lstm,daily_sign,phase1_lstm__daily_sign,0
304,-0.283028632075053,-0.32933273288520715,0.45751890599868006,-0.6438553139759909,-0.47072435056608053,-0.0008070574763609098,0.48026315789473684,1.0,0.003289473684210526,1.0,1,BTC,phase1_lstm,cost_aware,phase1_lstm__cost_aware,0
304,0.10270018099755585,0.12454507414434124,0.45763093872412225,0.4860503430529304,-0.2695560929637749,0.0006094018486534088,0.4967105263157895,1.0,0.5032894736842105,153.0,77,BTC,phase1_xgb,daily_sign,phase1_xgb__daily_sign,0
304,0.10270018099755585,0.12454507414434124,0.45763093872412225,0.4860503430529304,-0.2695560929637749,0.0006094018486534088,0.4967105263157895,1.0,0.5032894736842105,153.0,77,BTC,phase1_xgb,cost_aware,phase1_xgb__cost_aware,0
