asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count,mae_gain_vs_random_walk_pct,mae_gain_vs_arima_pct
BTC,benchmark,arima,arima,0.01667704113051064,0.024010924920372177,-0.0018761203423847128,0.48355263157894735,0.7359105326836264,304,-0.07315846468264785,0.0
BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.016664849382560683,0.024013387510992572,-0.0020816382276849232,,,304,0.0,0.07310498220006376
BTC,phase0,lstm,phase0_lstm,0.01684387960669268,0.024196424082186054,-0.01741613582007484,0.4769736842105263,0.8051734469290327,304,-1.074298483125495,-1.0004081352105667
BTC,phase0,xgb,phase0_xgb,0.017511230495674004,0.024907879859560538,-0.07812662265803239,0.4967105263157895,0.568287449734703,304,-5.078840460442661,-5.0020225928280215
BTC,phase1,lstm,phase1_lstm,0.016955809611591904,0.024227354257332776,-0.020018914843825897,0.48026315789473684,0.7720180847000842,304,-1.74595174760897,-1.671570387694595
BTC,phase1,xgb,phase1_xgb,0.017706839099237443,0.024842170638028238,-0.07244573640230789,0.4967105263157895,0.568287449734703,304,-6.2526200672847,-6.17494410829741
ETH,benchmark,arima,arima,0.022992327544432912,0.03365921332209886,-0.005683133980972421,0.5197368421052632,0.26408946731637356,304,-0.23327864453481387,0.0
ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.022938816184964295,0.0335957913281933,-0.0018968102590299907,,,304,0.0,0.23273572179765598
ETH,phase0,lstm,phase0_lstm,0.02345742158111039,0.03404416175386319,-0.02881795360023376,0.506578947368421,0.4317125502652969,304,-2.2608202270090434,-2.0228227689375102
ETH,phase0,xgb,phase0_xgb,0.024514696804474687,0.034649937669303965,-0.06575691502582681,0.5,0.5228621002394082,304,-6.869930020814827,-6.621205517796234
ETH,phase1,lstm,phase1_lstm,0.023054258312270447,0.03356988181474685,-0.0003520543224704298,0.4967105263157895,0.568287449734703,304,-0.5032610505062632,-0.26935406047018506
ETH,phase1,xgb,phase1_xgb,0.02561700893638133,0.03568936912709805,-0.1306572867234499,0.48026315789473684,0.7720180847000842,304,-11.675374743935176,-11.41546625445464
