asset,phase,model,method,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,directional_accuracy_p_value_mean,directional_accuracy_p_value_std
BTC,phase3_reference,lstm,phase3_reference_lstm,0.017005481477788364,0.00014569113788219574,0.02423525508600171,7.959219031818335e-05,-0.020693110929048776,0.006708090403171472,0.49407894736842106,0.01050573646228376,0.598396247989113,0.1362741569471536
BTC,phase3_reference,xgb,phase3_reference_xgb,0.017605331394392392,0.00016891107826564545,0.02487570421644563,0.00020758639424981164,-0.0754029125101491,0.018005483784551517,0.5144736842105263,0.009187000028795377,0.33354264512392956,0.11563098541183424
BTC,phase4_combined,lstm,phase4_combined_lstm,0.016924966091783112,0.0003012230177780883,0.024373263786320404,0.0003807710832096246,-0.03254362821929861,0.0325788084522671,0.46907894736842104,0.02262335376848603,0.8216083371277645,0.14864113799054166
BTC,phase4_combined,xgb,phase4_combined_xgb,0.01798083249600712,0.000126910514197403,0.025304995924165317,0.00016222192430528906,-0.11281524702949378,0.014248465337471955,0.4947368421052632,0.0088876684777015,0.5906266848518067,0.11332091393023407
BTC,phase4_decay_only,lstm,phase4_decay_only_lstm,0.016950161681588805,6.901442706884996e-05,0.024237096040832896,7.615778508170528e-05,-0.02084743931107984,0.006411430456768369,0.48684210526315785,0.01709260665364024,0.6831040681574196,0.2176319433250035
BTC,phase4_decay_only,xgb,phase4_decay_only_xgb,0.017605331394392437,0.0001689110782656484,0.024875704216445672,0.00020758639424981444,-0.07540291251014959,0.018005483784551714,0.5144736842105263,0.009187000028795377,0.33354264512392956,0.11563098541183424
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.016911307518236395,0.00022021739339662513,0.024353401062476986,0.00032488719837841303,-0.030806898589024634,0.027730889745140035,0.4828947368421053,0.014033374347172065,0.7258467301700914,0.16195698514416906
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.01798083249600712,0.000126910514197403,0.025304995924165317,0.00016222192430528906,-0.11281524702949378,0.014248465337471955,0.4947368421052632,0.0088876684777015,0.5906266848518067,0.11332091393023407
ETH,phase3_reference,lstm,phase3_reference_lstm,0.02330108927878174,0.00012300051459800368,0.03394836645384296,0.00022651859155937206,-0.02307265026157772,0.013647739292003034,0.5032894736842105,0.012086298072943326,0.47543706235014804,0.16041717225319913
ETH,phase3_reference,xgb,phase3_reference_xgb,0.024374549958201843,0.00037966650349261844,0.03478278758098832,0.0003842073220639222,-0.07404975916047252,0.023712367031016746,0.49868421052631573,0.01587831366598312,0.5405587358818168,0.2035593049935882
ETH,phase4_combined,lstm,phase4_combined_lstm,0.023097974985583532,0.00017616174894751976,0.033718973222062854,0.00011496522469430203,-0.009266749293276044,0.006889509450738222,0.5184210526315789,0.013681996278345687,0.29735464756697383,0.14409106672595492
ETH,phase4_combined,xgb,phase4_combined_xgb,0.024605517528276735,6.433874241068198e-05,0.03446106673747676,0.0002966861164194126,-0.05423256834246422,0.018122232375393087,0.5131578947368421,0.008386545252619716,0.3489980582236752,0.10623109572353004
ETH,phase4_decay_only,lstm,phase4_decay_only_lstm,0.02326308814541095,0.0002138409031326639,0.0338046629735146,0.0001767776806750612,-0.01441570842209643,0.010610491517191763,0.4967105263157895,0.01725014552911433,0.5577881853297867,0.22048921549535794
ETH,phase4_decay_only,xgb,phase4_decay_only_xgb,0.02437454995820189,0.0003796665034926155,0.034782787580988364,0.0003842073220639233,-0.07404975916047318,0.02371236703101665,0.49868421052631573,0.01587831366598312,0.5405587358818168,0.2035593049935882
ETH,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.023137629726388793,0.00015400755021423084,0.03368812585258761,9.218921310374957e-05,-0.007417631158835381,0.00551345132196421,0.5144736842105263,0.012866846852373607,0.33851041022717243,0.16127802459042548
ETH,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.024605517528276735,6.433874241068198e-05,0.03446106673747676,0.0002966861164194126,-0.05423256834246422,0.018122232375393087,0.5131578947368421,0.008386545252619716,0.3489980582236752,0.10623109572353004
